step,sim_time_s,px_m,py_m,pz_m,qw,qx,qy,qz,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,local_x_m,local_y_m,local_z_m
73,1.266667,-0.000001164,-0.000001502,0.224999994,0.999999940,0.000015570,-0.000010746,0.000000153,0.000106606,-0.000062336,-0.000212288,0.008407370,0.001079107,-0.000020352,-0.000001164,-0.000001502,0.024999994
74,1.283333,-0.000001164,-0.000001501,0.224999994,1.000000000,0.000015583,-0.000010767,0.000000170,0.000106485,-0.000062374,-0.000212291,0.008407879,0.001076558,-0.000020463,-0.000001164,-0.000001501,0.024999994
75,1.300000,-0.000001165,-0.000001501,0.224999994,1.000000000,0.000015436,-0.000010786,0.000000173,0.000106477,-0.000062408,-0.000212288,0.008408722,0.001076359,-0.000020428,-0.000001165,-0.000001501,0.024999994
76,1.316667,-0.000001165,-0.000001502,0.224999994,0.999999940,0.000015530,-0.000010714,0.000000176,0.000106502,-0.000062388,-0.000212280,0.008408098,0.001076779,-0.000020414,-0.000001165,-0.000001502,0.024999994
77,1.333333,-0.000001162,-0.000001501,0.224999994,1.000000000,0.000015566,-0.000010724,0.000000172,0.000106656,-0.000062287,-0.000212319,0.008407410,0.001079941,-0.000020386,-0.000001162,-0.000001501,0.024999994
78,1.350000,-0.000001165,-0.000001502,0.224999994,0.999999940,0.000015580,-0.000010741,0.000000175,0.000106386,-0.000062450,-0.000212268,0.008408947,0.001074410,-0.000020474,-0.000001165,-0.000001502,0.024999994
79,1.366667,-0.000001164,-0.000001501,0.224999994,1.000000000,0.000015595,-0.000010763,0.000000158,0.000106530,-0.000062364,-0.000212304,0.008408309,0.001077391,-0.000020433,-0.000001164,-0.000001501,0.024999994
80,1.383333,-0.000001165,-0.000001502,0.224999994,1.000000000,0.000015426,-0.000010806,0.000000172,0.000106434,-0.000062426,-0.000212284,0.008408972,0.001075445,-0.000020463,-0.000001165,-0.000001502,0.024999994
81,1.400000,-0.000001164,-0.000001503,0.224999994,1.000000000,0.000015360,-0.000010742,0.000000163,0.000106588,-0.000062362,-0.000212296,0.008407922,0.001078910,-0.000020351,-0.000001164,-0.000001503,0.024999994
82,1.416667,-0.000001164,-0.000001500,0.224999994,0.999999940,0.000015615,-0.000010767,0.000000165,0.000106585,-0.000062275,-0.000212283,0.008405618,0.001078560,-0.000020443,-0.000001164,-0.000001500,0.024999994
83,1.433333,-0.000001162,-0.000001501,0.224999994,0.999999940,0.000015301,-0.000010701,0.000000171,0.000106549,-0.000062366,-0.000212308,0.008408517,0.001077701,-0.000020411,-0.000001162,-0.000001501,0.024999994
84,1.450000,-0.000001165,-0.000001500,0.224999994,1.000000000,0.000015552,-0.000010730,0.000000158,0.000106434,-0.000062400,-0.000212247,0.008407423,0.001075261,-0.000020446,-0.000001165,-0.000001500,0.024999994
85,1.466667,-0.000001166,-0.000001502,0.224999994,1.000000000,0.000015384,-0.000010781,0.000000173,0.000106421,-0.000062480,-0.000212280,0.008409786,0.001075552,-0.000020411,-0.000001166,-0.000001502,0.024999994
86,1.483333,-0.000001165,-0.000001501,0.224999994,0.999999940,0.000015495,-0.000010692,0.000000176,0.000106616,-0.000062284,-0.000212301,0.008406484,0.001079045,-0.000020406,-0.000001165,-0.000001501,0.024999994
87,1.500000,-0.000001164,-0.000001501,0.224999994,1.000000000,0.000015526,-0.000010703,0.000000169,0.000106527,-0.000062368,-0.000212290,0.008407885,0.001077470,-0.000020413,-0.000001164,-0.000001501,0.024999994
88,1.516667,-0.000001165,-0.000001501,0.224999994,0.999999940,0.000015537,-0.000010732,0.000000174,0.000106479,-0.000062401,-0.000212283,0.008408584,0.001076306,-0.000020435,-0.000001165,-0.000001501,0.024999994
89,1.533333,-0.000001164,-0.000001501,0.224999994,1.000000000,0.000015571,-0.000010734,0.000000156,0.000106533,-0.000062355,-0.000212301,0.008407850,0.001077511,-0.000020423,-0.000001164,-0.000001501,0.024999994
90,1.550000,-0.000001165,-0.000001501,0.224999994,1.000000000,0.000015401,-0.000010783,0.000000159,0.000106473,-0.000062408,-0.000212295,0.008408708,0.001076254,-0.000020435,-0.000001165,-0.000001501,0.024999994
91,1.566667,-0.000001165,-0.000001502,0.224999994,0.999999940,0.000015514,-0.000010689,0.000000161,0.000106509,-0.000062385,-0.000212274,0.008407907,0.001076972,-0.000020405,-0.000001165,-0.000001502,0.024999994
92,1.583333,-0.000001166,-0.000001500,0.224999994,1.000000000,0.000015522,-0.000010717,0.000000166,0.000106498,-0.000062352,-0.000212290,0.008407416,0.001076801,-0.000020471,-0.000001166,-0.000001500,0.024999994
93,1.600000,-0.000001165,-0.000001503,0.224999994,1.000000000,0.000015376,-0.000010753,0.000000170,0.000106496,-0.000062458,-0.000212292,0.008409663,0.001077249,-0.000020347,-0.000001165,-0.000001503,0.024999994
